"V1" "V2" "V3"
"94" 0.548661 0.844063 -1.254994
"95" 1.911853 2.036454 0.972659
"96" -1.239981 -1.695846 -0.065674
"97" 3.553526 2.625872 1.929568
"98" 0.162804 0.720886 -1.080526
"99" 3.113606 0.871237 1.9588
"100" 1.444747 1.78171 -0.562216
"101" -1.053205 -0.101754 -1.519739
"102" -0.443891 -0.26476 -1.122865
"103" 0.190859 0.402807 0.365539
"104" -0.118386 -1.187673 0.423246
"105" 0.794385 -0.213364 0.204102
"106" 0.517138 0.084974 -1.065222
"107" 2.959661 2.620641 0.453708
"108" -0.019885 -0.096412 -0.595221
"109" 0.77778 0.250665 0.868009
"110" 1.212766 -1.400374 -1.010871
"111" 1.338949 -0.065333 0.754505
"112" -0.371863 -0.038221 -0.359892
"113" 0.701462 -1.373059 0.165736
"114" 0.317303 0.720033 0.520681
"115" 0.567892 0.551067 2.244199
"116" 2.530914 -0.274087 -0.462359
"117" 3.457872 2.10371 1.852987
"118" 0.703457 0.548172 0.354805
"119" 1.443759 0.519908 0.646157
"120" -0.121627 -0.102803 -0.734833
"121" -1.488789 -1.704053 0.312722
"122" 2.072318 1.067026 1.311074
"123" 0.696855 -0.045257 0.87664
"124" -0.758558 0.215611 -1.259326
"125" 3.934276 0.779012 0.533775
"126" 1.452945 1.01338 0.899194
"127" 1.919645 0.998745 -1.785965
"128" 0.711811 -0.605905 2.076767
"129" 2.824271 -0.895761 1.05043
"130" 0.241817 -0.749257 -0.183562
"131" -1.882079 -1.798147 1.446712
"132" -0.050199 0.1002 -0.446068
"133" -0.339422 1.991547 -1.139637
"134" -0.311186 -0.76955 1.200176
"135" 0.008027 -0.024899 -0.000951
"136" 1.897451 0.269281 0.762415
"137" 3.444867 1.063671 1.307742
"138" -0.748434 -1.125233 -0.521088
"139" -0.830725 -1.411627 -0.409088
"140" 2.546371 0.6052 0.065443
"141" -0.882841 0.542719 -1.251934
"142" 1.988711 1.189486 0.530206
"143" 2.49833 1.177945 1.647945
"144" -0.533257 -0.625362 -0.788611
"145" 2.184419 0.157191 0.417853
"146" 2.191535 0.565958 -0.283336
"147" -0.690919 -0.946897 1.209626
"148" 4.740051 1.851695 0.389902
"149" -1.425313 -1.662003 -0.626968
"150" -1.549385 -0.267756 0.330181
"151" 0.018177 -0.06547 -1.487576
"152" 1.749496 0.204817 1.116736
"153" -0.311759 -1.16212 -0.074466
"154" -1.531683 -1.167652 -0.590387
"155" -3.285446 -1.181898 -1.805747
"156" -0.110983 -0.744056 0.317528
"157" 2.474223 0.997753 0.159104
"158" 2.747033 1.093055 -0.36548
"159" 0.234396 0.386224 -0.938691
"160" 2.73718 1.10786 0.747569
"161" 0.785061 0.637273 -1.250547
"162" -2.791893 -2.185641 -0.28268
"163" -0.053565 -0.222713 -2.062094
"164" 0.321759 -0.573142 -0.085538
"165" 1.341829 0.88733 0.251705
"166" -1.112179 -1.670294 -0.352938
"167" -0.762453 0.40426 -2.070426
"168" 0.585597 -0.238242 1.06242
"169" -4.116261 -1.429091 -1.142571
"170" 0.037897 -1.203782 1.042027
"171" 2.096675 0.766383 0.712512
"172" -0.033037 -0.082168 -0.25324
"173" -0.194449 -1.173233 1.02447
"174" 1.464265 0.141918 1.480269
"175" 2.566345 0.833937 0.487234
"176" 0.188527 -0.318939 1.946887
"177" 1.248325 -0.632654 1.576646
"178" 2.005644 0.419404 0.735089
"179" -0.921721 -0.39099 -1.626665
"180" -1.241636 -1.015878 0.266928
"181" 2.179049 0.261811 -0.147346
"182" 0.246621 -0.507788 -0.000443
"183" 2.542751 0.928216 0.653616
"184" 1.80024 0.492485 1.254758
"185" -0.907529 0.554994 -1.134404
"186" 1.653658 0.933744 -0.179577
"187" -0.410625 -0.434856 0.298585
"188" 3.391708 0.972481 1.291934
"189" 2.945661 1.496123 0.910772
"190" -0.054357 -0.919146 -0.154379
"191" 1.245747 0.603399 1.105691
"192" 1.075991 -0.099287 1.472885
"193" 1.76676 0.148157 1.005702
"194" 1.419627 0.254667 1.231496
"195" 1.153888 0.860695 -0.886198
"196" 0.538093 -1.438562 0.535892
"197" 0.441833 0.948056 -1.0215
"198" 1.569985 0.499292 -0.024148
"199" -0.657135 -0.261722 -0.275261
"200" -0.526526 0.883052 -1.022712
"201" 0.239742 0.438144 0.541813
"202" -0.548382 -0.717728 0.341296
"203" -0.80527 0.872827 -0.343648
"204" -0.851216 -0.681526 -0.526501
"205" 0.291835 -0.432574 -0.374755
"206" -0.13993 -0.07354 0.929534
"207" 0.61498 0.060914 -1.184449
"208" 0.376694 -0.440813 0.862234
"209" 0.946772 0.527831 -0.008297
"210" -0.426558 -0.505294 -0.084564
"211" -0.039248 -0.800993 -0.737749
"212" 2.802713 1.288976 -0.367667
"213" 2.615599 1.043301 0.806248
"214" 0.021989 -1.047009 0.51895
"215" -2.608629 -0.235359 -2.261145
"216" 1.52213 -0.553668 0.14394
"217" -2.661965 -1.258468 0.349651
"218" -2.235977 -0.76719 -0.359877
"219" -0.812098 -2.034416 0.532133
"220" 0.222956 0.301679 0.630416
"221" -1.04455 0.823873 -1.457744
"222" 0.230834 -0.474196 -0.482347
"223" 2.548797 1.357793 0.340525
"224" 0.42387 0.946513 -0.061162
"225" 1.872542 0.920158 0.568478
"226" -1.080522 -1.148503 0.008103
"227" -0.148454 -0.21013 -0.302362
"228" 0.927016 -0.605594 1.316169
"229" -0.469039 0.161226 -0.926396
"230" -2.628666 -0.911379 -1.648644
"231" 1.89358 0.658842 0.083703
"232" -1.678878 -0.879911 0.375246
"233" 1.351505 0.358199 1.131302
"234" 2.276608 -0.065791 1.121815
"235" -1.238813 -2.401651 0.676134
"236" 1.425295 -1.330312 0.505827
"237" 1.106595 0.841865 0.824594
"238" 2.543348 1.867178 -1.787104
"239" -0.725946 -0.050728 -1.056398
"240" -0.454521 -1.002748 0.322394
"241" 0.959995 -1.049286 0.853345
"242" -0.435463 -1.982669 -1.370628
"243" 2.476377 0.716113 0.492887
"244" 3.133826 1.348738 0.979049
"245" 0.788929 -0.168757 -0.601257
"246" -1.144745 1.463259 -3.138746
"247" 0.593916 0.090084 -1.286312
"248" 2.559855 1.287929 1.62582
"249" 2.762463 1.521697 0.158848
"250" 2.189694 0.292777 0.495691
"251" 0.92455 2.014192 -1.414146
"252" -1.547775 -0.534994 -0.737351
"253" 0.122698 0.080439 -0.731038
"254" -0.215144 1.241327 -2.125611
"255" 1.383329 0.016593 0.306771
"256" -1.095544 -1.887653 0.888572
"257" -0.51589 0.122162 0.111848
"258" -0.210914 0.832212 -1.191328
"259" 0.232958 -0.751432 -0.295661
"260" 1.084724 0.753587 -0.948655
"261" 0.269362 0.677648 -1.706342
"262" -0.105799 -0.24649 -1.077849
"263" 2.006056 1.716804 0.030403
"264" 2.285998 0.627576 1.076168
"265" -0.894147 -0.147412 -1.230579
"266" 0.164892 0.259536 -0.103803
"267" 2.275658 -0.020331 1.883068
"268" 0.56368 -0.798283 1.375726
"269" 1.448799 -0.08333 -0.610441
"270" 5.111009 2.330046 1.209175
"271" 1.973369 1.603378 0.730572
"272" 0.185648 0.889091 -2.090993
"273" -0.451763 0.454753 -1.821117
"274" 2.255072 1.996427 -1.368259
"275" -0.682675 -1.347227 -0.257935
"276" 1.64654 0.817096 0.571782
"277" -2.371511 -3.109075 0.01106
"278" 1.296241 0.808029 0.04432
"279" 1.942932 0.050113 0.021704
"280" -0.177653 0.377715 -0.349706
"281" 2.302132 -0.270848 0.95348
"282" 1.156132 0.304455 -0.913053
"283" 2.58322 0.582331 0.274339
"284" -1.236976 -1.217698 -0.097515
"285" -1.219418 -0.844085 0.253331
"286" 1.440056 0.853018 0.037702
"287" -3.265404 -2.221003 -1.783758
"288" 2.644479 0.564978 1.123942
"289" -0.217678 1.528843 -2.016222
"290" -0.460361 1.69255 -1.547121
"291" 1.105572 0.34378 1.082336
"292" 1.025472 1.435888 -0.144898
"293" 3.09396 1.482167 0.32941
"294" 2.664748 1.018814 1.02684
"295" -0.185934 -0.033646 -1.219489
"296" 2.034308 0.26118 -0.015437
"297" -0.725009 -0.306122 0.440869
"298" 1.089383 0.422214 0.208646
"299" -0.785636 0.638442 -0.97283
"300" -0.580417 -1.207147 -0.398207
"301" 2.815652 0.817268 0.704504
"302" -1.087111 -0.560584 -0.280294
"303" -2.247903 -2.006349 -0.208851
"304" 0.716522 0.573238 1.317364
"305" 0.419714 -1.915427 0.954961
"306" 0.882067 -0.141214 -0.19955
"307" -0.313026 -2.830199 1.355832
"308" -1.308272 -2.440599 -0.422404
"309" 2.104405 0.603255 -0.549585
"310" 1.623701 0.673801 0.953121
"311" 0.104871 -0.014461 -0.593635
"312" -0.142291 -0.385483 -0.776657
"313" 1.81428 2.143761 -1.033161
"314" 1.138729 1.215031 -0.842728
"315" -0.592349 -0.717436 -0.737038
"316" 0.612215 0.703353 -0.978923
"317" 3.573228 1.073031 0.88603
"318" 0.446296 -0.965097 -0.833043
"319" -0.548821 -0.163787 -1.292855
"320" 1.326855 -1.026772 -0.641424
"321" 0.687626 0.379434 0.72203
"322" 0.419853 -1.107492 1.041775
"323" -0.090388 -0.001026 -1.993344
"324" -1.47161 -1.5385 0.022804
"325" 4.039398 0.6988 1.790311
"326" 0.159634 0.514773 0.89419
"327" 2.407485 0.219827 1.039719
"328" -1.477518 -1.155155 -0.454954
"329" -0.633367 -0.462345 1.531175
"330" 0.257192 0.311768 -1.039146
"331" -1.335996 -1.556183 0.856883
"332" 1.567282 0.862989 0.917833
"333" 0.317789 0.386628 -1.451426
"334" 0.602138 -1.31096 1.289453
"335" -2.409527 -1.609124 -0.795315
"336" -1.679575 -0.864477 -0.513388
"337" 0.548894 0.004397 0.684072
"338" 0.382151 -0.300912 1.309255
"339" 3.571248 0.547853 0.74556
"340" 0.435455 -0.737749 0.74634
"341" -1.653072 -0.844899 0.739691
"342" 0.023615 0.61282 -0.727949
"343" 2.264443 0.785808 -1.509192
"344" 0.410447 -0.442936 -0.353019
"345" 0.963981 0.423892 1.655431
"346" 2.686752 1.532308 -1.322885
"347" -0.193178 -0.138073 0.096358
"348" -0.436448 0.259655 -1.022894
"349" -1.35642 -1.444013 0.874422
"350" 1.195407 0.597456 0.848341
"351" 0.547196 -0.246858 0.987724
"352" 1.096669 -0.671324 -0.236363
"353" 1.746512 1.212288 -0.314465
"354" 0.861546 -0.083632 0.71852
"355" -1.774341 -0.110371 -0.044198
"356" 1.635445 0.285501 0.499746
"357" 1.134493 -0.675669 0.485942
"358" 4.102647 0.540461 0.409421
"359" 2.403155 -1.377742 0.058502
"360" 0.844651 1.188059 -0.615197
"361" -0.102557 -0.518283 -0.272866
"362" -0.612325 -0.959752 -1.719268
"363" 1.259481 -0.548654 1.022004
"364" 3.254917 -0.132003 1.679047
"365" 1.825458 0.60118 0.160395
"366" 2.702023 1.003095 -1.791355
"367" -0.114523 -0.429678 -0.16625
"368" 3.133748 2.307213 0.10646
"369" 0.745687 -0.238676 0.888635
"370" -1.138959 -0.280219 -0.529308
"371" -1.857599 -0.991924 -1.533437
"372" 0.702977 0.268941 1.365404
"373" 3.064813 1.634677 1.103158
"374" 0.113922 0.917931 -0.920681
"375" 0.678073 0.113265 -0.484451
"376" -0.022051 -0.53798 -0.465133
"377" 1.613505 -0.452624 0.56069
"378" 0.378428 0.074975 0.823038
"379" -0.683625 -1.004772 -1.033572
"380" -1.363696 -0.831284 -0.947176
"381" -0.214279 -0.241834 -1.021001
"382" 1.505454 0.868411 -0.576512
"383" 1.100257 0.838429 -0.441748
"384" 1.801322 -0.698727 0.890667
"385" 1.386261 2.483435 1.120482
"386" 0.170578 -0.660446 0.337089
"387" 0.069797 -0.892332 -0.12954
"388" 0.946164 0.909041 0.292354
"389" -0.879227 0.481765 -1.021191
"390" -2.742304 -0.954113 -0.699131
"391" 0.747577 -0.752 -0.894625
"392" -2.929609 -1.205743 -0.945803
"393" -1.639482 -0.273884 -0.803969
"394" -0.743524 0.122187 -0.010319
"395" 1.120568 0.876038 -1.305602
"396" -2.829436 -3.145148 -1.192078
"397" 1.739297 1.306586 -0.85262
"398" -0.804014 0.09302 -0.685945
"399" 0.456086 -0.70988 2.875135
"400" -2.160104 -2.611961 -0.590235
"401" 0.406786 1.679024 -0.085706
"402" -0.098739 -0.177899 0.897929
"403" 1.208723 -0.490444 0.453516
"404" 2.149797 0.555395 1.551612
"405" -1.077142 -1.337919 0.429926
"406" -2.308111 -1.696883 -0.357646
"407" -1.065268 -1.246424 -0.608581
"408" -0.858727 -0.778397 -1.205932
"409" -1.824976 -1.070475 -1.612643
"410" 0.212627 0.017933 -0.038405
"411" 0.07237 0.542006 1.288986
"412" 0.323261 0.35392 -2.274845
"413" 0.907009 1.409971 -0.600984
"414" 1.968574 1.43897 -0.309985
"415" -2.37222 -1.849474 -0.40125
"416" 2.242265 1.68293 -1.14092
"417" 0.539026 0.604875 -0.589871
"418" -0.426065 0.524156 -2.024955
"419" 2.157736 1.428485 -0.840173
"420" 0.111469 -1.444095 0.731495
"421" -1.055086 -0.124574 0.611455
"422" -1.538539 -1.524195 -0.450624
"423" -0.882427 -0.609405 -1.639806
"424" 0.566139 -0.758778 0.845822
"425" 3.608154 1.408185 1.043946
"426" 1.625934 1.466989 0.025235
"427" 0.618374 -0.008595 0.031777
"428" 2.583763 0.98501 0.712331
"429" -0.268784 -1.156996 -0.98938
"430" -0.178772 0.030462 -1.191645
"431" 1.153116 1.062918 0.631441
"432" -0.181617 0.049068 -0.430692
"433" 0.49684 0.886483 0.560904
"434" -1.703488 -0.762589 -0.468871
"435" 0.751839 1.221154 -0.411175
"436" -0.53663 -0.345737 -1.654869
"437" 3.290816 1.88396 0.766058
"438" 1.594032 0.7694 -0.140322
"439" 3.119637 0.526255 1.373887
"440" 1.904249 1.129451 -1.519694
"441" -0.974057 -1.909077 -0.620734
"442" 3.336431 1.287929 -0.227332
"443" 1.631091 1.280427 -0.762158
"444" 0.955298 0.100638 -0.313605
"445" -0.521797 -0.15671 -2.364484
"446" 1.523331 0.330423 0.647727
"447" -0.543937 -0.250203 -1.372028
"448" -0.416376 -2.234895 1.910795
"449" 0.284278 1.001601 -1.4253
"450" -0.069835 -1.215678 -0.438981
"451" 2.196056 0.454452 0.910572
"452" -1.258963 -1.410603 0.676439
"453" 3.619537 1.151548 0.876034
"454" -1.363255 -1.491283 -0.601684
"455" 0.584718 -1.442029 0.381463
"456" 2.775531 0.629972 1.223937
"457" 1.578521 -0.478344 0.640302
"458" -0.504871 -0.17607 -1.06509
"459" 1.553449 0.296821 -0.263026
"460" -0.200478 0.14259 -0.614778
"461" -0.297326 -0.079587 0.410057
"462" 1.428226 0.686765 -0.864393
"463" 0.502919 0.719142 -1.479283
"464" 0.082781 0.223939 0.378837
"465" -0.620232 -0.96808 0.882103
"466" 2.631025 0.389582 1.452007
"467" 1.767608 -0.261898 0.432315
"468" 1.176588 0.237363 -0.054883
"469" 1.329806 0.146615 -1.620969
"470" 1.338393 0.181064 1.921933
"471" -2.077708 -1.971096 -1.460852
"472" 1.321501 0.376483 0.039685
"473" 0.808492 -0.596481 -0.03701
"474" 0.584722 0.364001 -0.64743
"475" -0.7202 1.398424 -0.902314
"476" 0.777367 -0.343634 0.772809
"477" -0.88095 -0.716694 -0.995137
"478" -0.520197 -1.294664 0.921659
"479" 0.965072 1.462204 -0.337611
"480" -0.969014 -0.856475 0.395665
"481" 1.392327 0.893144 -0.439566
"482" 0.238393 -1.180307 1.220192
"483" 2.575884 0.858522 -0.753114
"484" -2.009005 0.495517 -1.059048
"485" 0.132319 0.048602 0.054327
"486" 1.214512 -0.514426 -0.047091
"487" 2.334847 0.458539 0.654242
"488" 1.941653 0.54775 1.588882
"489" -2.536129 -1.679494 -0.152874
"490" -0.67251 -0.904321 0.268712
"491" 2.136961 0.772407 0.258704
"492" -0.304621 -1.074128 0.920588
"493" 0.576299 0.548786 -0.404752
"494" -2.629373 -2.076552 -0.588534
"495" -1.906917 0.701099 -1.233889
"496" 0.491401 -0.66186 0.256907
"497" -0.424926 -1.123784 -0.557013
"498" 0.74186 -1.655879 1.440759
"499" 0.475058 -1.075607 0.758764
"500" 0.602616 -0.260393 -0.082695
